"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,002146
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,010967
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,002146
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001907
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,008106
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,003099
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,017405
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,005245
